title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,category,links
Bûche légère aux marrons,4.9,33,3.3k,118,15 min,8,facile,bon marché,15 min,no data,"['cl de crème liquide à 30 %', 'g de crème de marron', 'biscuits à la cuillère', 'cl de lait tiède sucré', 'cuillère à soupe de rhum ou autre alcool (facultatif)', 'feuille de gélatine', 'cuillère à soupe de noix de coco rapée']","Battre la crème en chantilly après avoir laissé le saladier, les branches du fouet et la crème 15 min aux frais. Faire tremper la gélatine pendant 15 min dans de l'eau fraîche. Chauffer la moitié de la crème de marron au micro onde 1 min. Y ajouter le gélatine essorée. Ajouter à ce mélange la crème de marron restante et mélanger très délicatement à la chantilly. Chemiser un moule à cake ou mieux une gouttière à bûche de papier aluminium ou de film étirable. Verser un peu moins de la moitié du mélange, poser une rangée de biscuits bien imbibés dans le lait, le reste du mélange et une autre rangée de biscuits. Réfrigérer 3h00 minimum. Démouler et décorer avec la noix de coco râpée pour suggérer la neige. Si vous le souhaitez vous pouvez ajouter entre les couches de crème des brisures de marrons glacés.",dessert,https://www.marmiton.org/recettes/recette_buche-legere-aux-marrons_170808.aspx
Bûche de Noël aux fruits et mascarpone,4.7,184,16k,825,4h05,6,facile,Coût moyen,55 min,3 h,"['oeufs', 'g de farine', 'g de sucre en poudre', 'sachets de sucre vanillé', 'cuillère à café de levure chimique', 'sirop de fruits', 'rhum', 'g de mascarpone', 'g de fruits (frais ou surgelés!)', 'cuillères à soupe de sucre en poudre', 'g de mascarpone', 'cuillères à café de sucre glace', 'cuillères à café de vanille liquide']","Préparation du gâteau roulé.
Préchauffer votre four à 200°C (thermostat 6-7).
Séparer les blancs des jaunes d'oeuf. Ajouter le sucre et sucre vanillé aux jaunes d'oeufs et battre le mélange jusqu'à blanchiment. Ajouter ensuite doucement la farine et la levure chimique (le mélange devient très consistant). Monter les blancs d'oeufs en neige et les incorporer au mélange. Etaler le mélange sur la plaque du four préalablement beurrée. Enfourner pendant environ 10 minutes. Préparation de la garniture (pendant la cuisson du gâteau roulé) : mixer environ 200 g de fruits et les mélanger à environ 200 g de mascarpone et les 2 cuillères à soupe de sucre. Préparer le sirop au rhum en mettant le même volume de sirop et rhum dans un bol et environ 3 fois le volume en eau.` Une fois le gâteau roulé cuit, le démouler sur un linge humide et humidifier l'autre face avec le mélange de sirop au rhum à l'aide d'un pinceau. Une fois le gâteau humidifié, couper les bord du gâteau afin d'obtenir un joli rectangle (et d'enlever les bords trop secs qui risqueraient de casser lors du roulage !!). Etaler le mélange mascarpone et fruits sur le gâteau. Parsemer ensuite sur le mélange étalé, environ 200 g de fruits non mixés (en réserver 50 g environ pour la décoration).
Ensuite, rouler le biscuit. Préparation du glaçage : prendre les 300 g de mascarpone restants et y mélanger le sucre glace et l'extrait de vanille. Etaler ensuite sur le gâteau roulé ce mélange, à l'aide d'une spatule. Pour la décoration : faire des rainures sur la glaçage à l'aide d'une fourchette. Réserver au réfrigérateur plusieurs heures.",dessert,https://www.marmiton.org/recettes/recette_buche-de-noel-aux-fruits-et-mascarpone_65657.aspx
Bûche de Noël au chocolat et praliné,5,1,0,0,12h20,8,Niveau moyen,Coût moyen,35 min,11 h,"['g de crème liquide 30% mg', 'g de praliné noisettes', 'g de pralinoise', 'g de beurre', 'g de lait', ""g de blanc d'oeuf"", 'g de sucre', ""g d'oeuf"", 'g de farine', ""g de jaune d'oeuf"", 'g de beurre', 'g de farine', 'g de pralinoise poulain', 'g de sucre roux', 'g de crêpe dentelle', 'g de poudre de noisette', 'g de pralinoise poulain', 'g de lait', 'g de sucre', 'g de crème liquide 30%', ""jaunes d'oeuf"", ""gélatine en feuilles +1/4 d'une feuille (2,5gr)"", 'g de sucre', ""g d'eau"", 'g de crème liquide 30%', 'feuilles de gélatine en feuilles', 'g de cacao en poudre non sucré', 'noisettes', 'cuillères à soupe de pralin vahiné']","Pour la ganache noisette, faire fondre la Pralinoise avec le praliné de noisettes jusqu'à ce que le mélange soit bien lisse. Une fois le mélange lisse, ajouter la crème, mélanger puis réserver la préparation au réfrigérateur. Pour le biscuit pâte à choux, dans une casserole, portez le lait et le beurre à ébullition. Utiliser une spatule pour mélanger. Une fois le beurre fondu, baisser à feu doux et ajouter la farine en une fois avant de mélanger rapidement. Continuer à mélanger sur feu doux. Lorsque la pâte forme une boule (après une minute environ), la verser dans un saladier et la fouetter, à l'aide d'un batteur, jusqu'à ce qu'elle refroidisse (1 à 2 minutes). Ajouter l'oeuf entier et les jaunes en continuant de mélanger. Dans un autre saladier, monter les blancs en neige. Lorsqu'ils deviennent mousseux, ajouter progressivement le sucre et continuer de fouetter jusqu'à obtenir une meringue bien ferme. Incorporer les blancs en neige à la première préparation en mélangeant délicatement. Verser la pâte obtenue sur une plaque de cuisson recouverte de papier cuisson, former un rectangle d'environ 25x20cm. Enfourner 15 min à 180°C. Le biscuit doit être moelleux à la sortie du four. Laisser refroidir le biscuit 15 min puis découper les bords du biscuit afin d'obtenir un rectangle de 25x20cm. Recouvrir le biscuit de ganache à la noisette, rouler le biscuit puis l'enrouler fermement dans du papier cuisson avant de le placer 1 heure au réfrigérateur puis 3 heures au congélateur. Pour le streusel reconstitué à la noisette, mélanger le beurre mou avec la farine, le sucre roux et la poudre de noisettes. Étaler le streusel sur une feuille de papier cuisson et enfourner 15 à 20 min à 180°C. Laisser refroidir le streusel avant de l'émietter. Mélanger le streusel avec la pralinoise fondue et les crêpes dentelles émiettées. Étaler le mélange obtenu entre deux feuilles de papier cuisson en formant un rectangle de 25x5cm et le placer au réfrigérateur. Pour la mousse Pralinoise, faire chauffer le lait dans une casserole. Dans un saladier à côté, mélanger les jaunes d'oeufs et le sucre. Verser le lait chaud sur les jaunes, mélanger puis remettre sur feu moyen sans cesser de remuer jusqu'à obtenir une crème anglaise (84°C). Ajouter la gélatine réhydratée dans la crème anglaise puis verser la crème sur la Pralinoise. Une fois la crème pralinoise à 25°C, monter la crème entière en chantilly et incorporer délicatement à la préparation précédente. Dans un moule à bûche de 25 cm, verser la moitié de la mousse Pralinoise, insérer le biscuit roulé, le recouvrir avec le restant de mousse puis déposer le streusel reconstitué. Placer la bûche 6 heures minimum au congélateur. Pour le glaçage miroir, faire chauffer le sucre et l’eau jusqu’à 103°C. Ajouter le cacao en poudre, mélanger, ajouter ensuite la crème liquide chaude puis la gélatine réhydratée. Mixer le tout à l’aide d’un mixeur plongeant. Si le glaçage fait les bulles, le passer au chinois. Laisser le glaçage reposer jusqu'à ce qu'il atteigne 30°C.
Sortir ensuite la bûche du congélateur et la recouvrir de glaçage. Décorer la bûche avec les noisettes, leur peau ainsi que du pralin. Laisser la bûche 5 heures au réfrigérateur avant de la déguster.",dessert,https://www.marmiton.org/recettes/recette_buche-de-noel-noisette-et-pralinoise_529096.aspx
Mascarpone glacé,4.7,171,12k,179,15 min,6,très facile,Coût moyen,15 min,no data,"['g de mascarpone', 'oeufs très frais', 'cuillères à soupe de sucre', 'cuillère à soupe de sucre (pour les noix)', ""cuillère à café d'extrait de vanille"", 'cuillères à soupe de rhum', 'g de cerneau de noix']","Fouetter les jaunes d'oeufs avec le sucre jusqu'à ce que le mélange blanchisse. Fouetter à part le mascarpone et l'ajouter au mélange oeufs-sucre, ainsi qu'une cuillère à café de vanille (ou plus) et le rhum. Battre les blancs en neige très ferme, ajouter délicatement au reste. Hacher les noix assez grossièrement au robot. Les faire chauffer à sec dans une poêle anti-adhésive en surveillant de près (ça brûle très vite) puis ajouter la dernière cuillère de sucre en remuant jusqu'à caramélisation (très rapide). Etaler tout de suite sur une plaque ou un plat froid pour stopper la cuisson. Laisser refroidir quelques minutes, puis ajouter à la préparation, après avoir séparé les noix caramélisées à la fourchette. Verser dans le moule et mettre une douzaine d'heures au congélateur. NB : dans la pratique, je double très souvent les quantités, et je varie les parfums : - noisettes, whisky, cacao - cerises au naturel, kirsch - amandes, rhum - crème de marrons (diminuer le sucre) et rhum pour Noël...",dessert,https://www.marmiton.org/recettes/recette_mascarpone-glace_36066.aspx
Bûche écrin vanille praliné,0,0,0,0,1h15,6,Niveau moyen,bon marché,1h15,no data,"['cl de crème fleurette envia', 'g de chocolat praliné', 'g de lait concentré sucré', 'g de crêpe dentelle de bretagne', 'g de farine de blé', 'g de beurre', 'g de fécule de maïs', 'oeufs', 'gousse de vanille', 'g de sucre en poudre', 'g de glucose liquide (sirop de glucose)', 'g de levure chimique', 'g de gélatine en feuilles', ""cl d'eau""]","La veille, versez 20 cl de crème dans un saladier. Ajoutez-y les grains de la vanille grattée, mélangez, placez la gousse, filmez et laissez infuser 12 h au frais. Le lendemain, plongez 2 g de gélatine dans un bol d’eau froide. Essorez-la et faites la fondre avec la crème vanillée dans une casserole, mélangez. Montez en chantilly dans un cul de poule bien froid. Ajoutez au fur et à mesure 15 g de sucre. Placez-la dans un moule à insert. Préchauffez le four à 160 °C. Dans un saladier, fouettez un oeuf avec 20 g de sucre jusqu’à ce que le mélange blanchisse. Ajoutez la farine, la fécule de maïs, la levure et le beurre fondu, mélangez. Sur une plaque du four recouverte de papier cuisson, versez une bande de pâte de 7 x 30 cm. Enfournez 15 min. Sortez le biscuit, redécoupez aux bonnes dimensions. Badigeonnez d’eau et congelez. Faites fondre 50 g de chocolat praliné au bain-marie. Incorporez les crêpes dentelle écrasées. Sortez le biscuit du congélateur, étalez le praliné par-dessus. Recongelez. Faites tremper 4 g de gélatine dans un bol d’eau froide. Dans une petite casserole, cassez 2 oeufs, versez 10 cl de crème et chauffez à 83 °C en remuant. Ajoutez la gélatine. Versez la crème chaude sur 140 g de chocolat praliné, mélangez. Montez 20 cl de crème en chantilly. Mélangez-la à la crème pralinée refroidie. Pour monter la bûche, versez 2/3 de mousse pralinée dans le moule. Démoulez l’insert congelé et enfoncez-le dans la mousse. Versez le reste de mousse puis posez le biscuit, le croustillant côté mousse. Appuyez pour faire remonter la mousse sur les côtés, lissez et placez au congélateur 8 h. Pour le glaçage, trempez le reste de gélatine dans un bol d’eau froide. Portez l’eau à ébullition à 103 °C l’eau, le reste de sucre et le sirop de sucre. Hors du feu, versez le lait concentré, la gélatine essorée et le reste de chocolat praliné. Mixez et laissez tiédir à 40 °C. Démoulez la bûche sur une grille et versez le glaçage. Placez la bûche sur le plat de service. Décorez à votre convenance.",dessert,https://www.marmiton.org/recettes/recette_buche-ecrin-vanille-praline_529244.aspx
Bûche de Noël à la mousse au chocolat,4.5,99,15k,100,2h10,10,Niveau moyen,bon marché,2 h,10 min,"['g de sucre', 'g de farine', 'oeufs', 'jus de citron', 'paquet de levure', 'paquet de sucre vanillé', 'cl de liqueur de fruit', 'g de chocolat', 'oeufs', 'g de beurre mou', 'g de sucre glace', 'oeuf entier', 'cuillères de café de café soluble (ou chocolat fondu ou grand marnier, selon le parfum souhaité)', 'cuillères à soupe de liqueur de fruit pour le parfum']","Biscuit : 
Battre le sucre et les jaunes d'oeufs jusqu'à blanchiment, ajouter le jus de citron. Ajouter la levure, une pincée de sel, le sucre vanillé, la farine et les blancs battus en neige. Huiler une plaque à biscuit et couler la pâte dessus. Cuire au four (thermostat 7/210°C ) pendant 10 petites minutes sur la partie supérieure du four. Faire refroidir le biscuit sur sa plaque. Mousse au chocolat : 
Faire fondre le chocolat au bain-marie. Casser les oeufs en séparant les jaunes des blancs. Ajouter une pincée de sel aux blancs et les battre en neige. Verser peu à peu le chocolat fondu sur les jaunes en remuant énergiquement. Incorporer les blancs avec une spatule. Mettre la préparation au réfrigérateur. Une fois le biscuit refroidi, le démouler sur un torchon (qui aura été lavé sans adoucissant pour ne pas donner l’odeur au gâteau !!!). Découper la croûte du dessus du biscuit. Diluer la liqueur dans 3 cl d’eau tiède et imbiber le biscuit avec le mélange. Tartiner alors le biscuit avec la mousse au chocolat. Ensuite rouler très délicatement le biscuit tartiné et envelopper le tout dans le torchon. Déposer la préparation au réfrigérateur pendant au moins 2 ou 3 heures pour que la mousse soit bien prise. Crème au beurre : 
Faire mousser le beurre et le sucre glace, ajouter l’oeuf puis le café (dilué dans un fond d’eau) et la liqueur de fruit. Recouvrir le biscuit roulé sorti du torchon de la crème au beurre. Placer la bûche au réfrigérateur toute une nuit.",dessert,https://www.marmiton.org/recettes/recette_buche-de-noel-a-la-mousse-au-chocolat_19804.aspx
Bûche de Noël Chocolat - Poires,4.7,173,16k,266,4h57,8,difficile,bon marché,1h30,3h15,"['oeufs', 'g de sucre', 'g de farine', ""g d'amandes effilées"", 'oeufs', 'g de chocolat noir pâtissier', 'cl de crème fraîche (15 à 20%)', 'poires de taille moyenne (william/barlett)', 'g de chocolat noir pâtissier', 'cl de crème fraîche']","Mousse au chocolat : séparer les jaunes des blancs d'oeuf. Monter les blancs en neige ferme (5 min au batteur électrique), avec une pincée de sel. Casser le chocolat en morceaux, pour le faire fondre dans un bol au micro-ondes (1 à 2 min puissance max, en remuant 2 ou 3 fois). Ajouter les jaunes d'oeuf, en remuant vivement avec une fourchette (laisser tiédir un peu le chocolat fondu s'il est trop chaud, afin d'éviter de cuire les jaunes), puis la crème fraîche et mélanger jusqu'à obtention d'une ganache onctueuse. Prélever 1/3 des blancs d'oeufs et les incorporer délicatement à la préparation chocolatée, en remuant doucement avec une spatule en bois (ne pas ""écraser"" les blancs d'oeufs, il faut être patient et les laisser se ""dissoudre"" dans le chocolat!). Transvaser ensuite dans le restant de blancs d'oeufs et mélanger jusqu'à homogénéité, en essayant d'incorporer autant d'air que possible à chaque tour de cuillère. Couvrir d'un film alimentaire et réserver au frigo. Biscuit : séparer les jaunes des blancs d'oeufs. Monter les blancs en neige ferme (5 min au batteur électrique) avec une pincée de sel. Blanchir les jaunes avec le sucre, puis incorporer la farine en pluie jusqu'à obtention d'une pâte assez compacte. Ajouter les blancs d'oeufs par petites quantités, en remuant avec délicatesse ; la pâte s'aère et prend peu à peu une consistance crémeuse. Préchauffer le four à 180°C (thermostat 6).
Répartir les amandes effilées sur une plaque de four de 30×40cm (2cm d’épaisseur ou plus) recouverte de papier sulfurisé et verser la préparation par dessus. Enfourner et laisser cuire 10-12 min. De légères bulles doivent se former à la surface, indication que le biscuit est cuit; ne pas laisser brunir! Laisser refroidir le biscuit sur la plaque. Peler les poires, puis les couper en fines lamelles. Montage de la bûche.
Chemiser un moule à cake avec du film plastique, en prévoyant 10 cm de plus sur chaque côté.
A l’aide d’un couteau, découper 3 rectangles de biscuits de la taille du moule à cake (conserver les chutes, elles serviront à la décoration !). 
Placer le premier rectangle au fond, les amandes face à vous. Etaler 2 grosses cuillères de mousse au chocolat sur le biscuit et disposer 2 rangées de lamelles de poires, bien serrées les unes aux autres. Recouvrir de mousse au chocolat (même quantité) et poser le deuxième rectangle de biscuit, en pressant légèrement pour compacter l’étage inférieur. Répéter l’opération pour le deuxième étage et finir avec le 3ème rectangle de biscuit. Rabattre les bords du film plastique et placer au frigo pour la nuit (ou au minimum 3 h). Glaçage et décoration.
Pour le glaçage, casser le chocolat en morceaux et le faire fondre dans un bol au micro-ondes; laisser tiédir avant d’ajouter la crème fraîche. Démouler la bûche sur un plat de service. A l’aide d’une spatule ou d’un couteau large, recouvrir la bûche d’une couche de glaçage, puis strier la surface avec une fourchette. Reste à décorer le gâteau ! Et là, laissez libre cours à votre imagination : champignons meringués, sucre glace, noix et fruits secs (éventuellement enrobées de chocolat noir ou blanc), pétales de roses en chocolat, sujets en massepain... Les restants de biscuit peuvent aussi être utilisés pour former une maisonnette (recouverte de glaçage pour la maintenir en place); les possibilités sont infinies !
Réserver la bûche finie au frigo jusqu'au dernier moment.",dessert,https://www.marmiton.org/recettes/recette_buche-de-noel-chocolat-poires_54068.aspx
Bûche chocolat-framboises,4.4,48,3.4k,89,36 min,8,Niveau moyen,bon marché,30 min,6 min,"['oeufs', 'g de sucre', 'g de farine', 'g de cacao en poudre', 'g de chocolat noir', 'g de crème liquide', 'g de framboises (surgelées)', 'g de beurre', ""cl d'eau"", 'g de sucre', 'gousse de vanille']","* Génoise : Préchauffer le four à 250°C. Dans un bol, mélanger les oeufs et le sucre. Faire tiédir au bain-marie à 40°C environ. Battre le mélange énergiquement au batteur électrique pendant 5 min, puis plus lentement jusqu'à refroidissement (dans une casserole d'eau froide). Incorporer délicatement à la spatule, la farine et la poudre de cacao tamisées ensemble. Sur une plaque recouverte d'une feuille de papier sulfurisé, étaler la génoise sur une épaisseur régulière. Mettre la plaque au four en baissant le thermostat à 200°C . Laisser cuire 6 min. A la sortie du four, laisser refroidir sur un torchon. * Ganache : Faire bouillir ensemble la crème et les framboises. Verser le tout sur le chocolat noir et fouetter jusqu'à la fonte complète du chocolat. Ajouter le beurre et mélanger. Laisser refroidir. * Sirop : Mettre l'eau, le sucre et la gousse de vanille fendue en 2 dans une casserole et faire bouillir. * Montage de la bûche : Déposer la génoise côté croûte sur le plan de travail. Enlever le papier. Imbiber la génoise avec le sirop refroidi. Etaler les 2/3 de la ganache sur la génoise. Rouler la bûche et réserver au frais pendant 30 mn. Couvrir le roulé avec le reste de la ganache et tracer des stries à la fourchette. Servir frais.",dessert,https://www.marmiton.org/recettes/recette_buche-chocolat-framboises_20303.aspx
"Bûche au mascarpone et lemon curd, parfumée Earl Grey",4.7,62,3.6k,7,40 min,8,Niveau moyen,Coût moyen,30 min,10 min,"['g de sucre', 'cl de thé earl grey bien sucré', 'g de farine', 'g de maïzena', 'oeufs', 'cuillère à café de cannelle', 'zeste de citron', 'pot de lemon curd (crème de citron, rayon produits étrangers ou épicerie fine ou recette sur marmiton)', 'g de mascarpone', 'crème liquide', 'sucre glace', 'meringue faite maison (recette sur marmiton)']","Préchauffez votre four à 200°C (thermostat 6-7). Dans un saladier, fouettez 4 jaunes d'oeufs avec la moitié du sucre pour obtenir une belle crème presque blanche. Battez les blancs en neige, ajoutez le reste de sucre en poudre en milieu de travail. Incorporez la moitié de la farine et de la maïzena et la cannelle, remuez. Ajoutez la moitié des blancs montés, remuez. Rajoutez le reste des ingrédients (farine et maïzena) en remuant toujours doucement. Sur une plaque assez grande, tapissée de papier sulfurisé et beurrée, étalez votre pâte bien équilibrée pour une cuisson uniforme et enfournez 10/12 minutes en surveillant. Pendant ce temps...fouettez au batteur le lemon curd, le mascarpone et les 2 cuillères de crème ainsi que le zeste de citron. Vous pouvez également mettre des lamelles de citrons confits au sucre. La génoise est prête !!! Renversez-la sur un linge humide, enlevez le papier sulfurisé, badigeonnez-la de thé earl grey bien sucré et laissez refroidir. Etalez ensuite le mélange citron-mascarpone, roulez délicatement (à l'aide du torchon humide) Avec le reste de crème, décorez la bûche à votre guise ! Pour ma part je confectionne des bandes de meringue et les colle avec la crème au citron, et j'y ajoute des petits sujets de Noël. -- Allez c'est pas trop compliqué... J'ai confiance en vous!!!--",dessert,https://www.marmiton.org/recettes/recette_buche-au-mascarpone-et-lemon-curd-parfumee-earl-grey_43344.aspx
Bûche exotique à l'ananas,4.3,22,1.6k,61,1h10,6,Niveau moyen,bon marché,50 min,20 min,"['g de farine', 'oeufs', 'g de sucre glace', 'sel', 'noix de beurre', ""g de purée d'ananas (chair d'ananas mixée)"", ""jaunes d'oeuf"", 'g de sucre en poudre', 'g de maïzena', 'feuilles de gélatine', 'dl de crème liquide ou une bombe de chantilly', 'ananas en boite', 'cuillères à soupe de rhum (facultatif)', 'cuillère à soupe de miel', 'g de noix de coco rapée']","Préparez le biscuit : préchauffez le four à 210°C (thermostat 7). Fouettez les jaunes d'œufs avec le sucre jusqu'à ce que le mélange blanchisse. Ajoutez la farine puis les blancs battus en neige avec une pincée de sel. Versez sur une feuille de papier sulfurisé beurrée et posée sur une plaque à pâtisserie ; lissez le dessus. Faites cuire 7 à 10 minutes. Lorsque le biscuit est cuit, retournez-le sur un torchon humide et ôtez le papier sulfurisé. Roulez le dans la largeur. Préparez la mousse : fouettez les jaunes d'œufs et 75 g de sucre. Faites ramollir les feuilles de gélatine dans de l'eau froide. Délayez la Maïzena dans 2 cuillères à soupe d'eau, ajoutez-la au mélange œufs-sucre ainsi que la purée d'ananas (conservez le jus si vous utilisez de l'ananas en boite). Faites cuire à feu doux en remuant sans cesse jusqu'à ce que le mélange nappe la spatule. Retirez la casserole du feu et ajoutez les feuilles de gélatine, mélangez. Mettez au réfrigérateur. Fouettez la crème liquide en chantilly avec le sucre restant (25g) et incorporez-la à la mousse. On peut aussi utilisez de la chantilly en bombe. Préparez le sirop en faisant fondre le sucre dans l'eau, puis ajoutez le rhum (facultatif). Déroulez le biscuit et imbibez-le du sirop (ou du jus d'ananas en boîte). Étalez la mousse et roulez le biscuit dans un film alimentaire. Réservez au frais pendant 4 heures minimum. Avant de servir (ou avant le repas), faites chauffer le miel et étalez-le sur tout la bûche puis saupoudrez de noix de coco râpée et laissez votre imagination parler pour la décoration. Si besoin, replacez la bûche au réfrigérateur jusqu'au moment de servir.",dessert,https://www.marmiton.org/recettes/recette_buche-exotique-a-l-ananas_83278.aspx
