title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender
Ramequins fondants au chocolat,4.8,3110,189k,1244,22 min,4,très facile,bon marché,10 min,12 min,"['g de chocolat noir + 8 carrés (5 g)', 'oeufs', 'g de sucre semoule', 'g de beurre doux', 'cuillère à soupe de farine']","Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour former une pâte homogène et onctueuse. Préchauffez le four à 210°C (thermostat 7).
Dans un saladier, mélangez les oeufs, le sucre et la farine. Incorporez la préparation chocolatée et mélangez. Versez 1/3 de la préparation dans des ramequins individuels. Déposez deux carrés de chocolat dans chacun des 4 ramequins, puis recouvrez-les avec le reste de la préparation chocolatée. Placez les ramequins au four pendant environ 12 minutes, pas plus! Dégustez de préférence chauds ou tièdes. Miam !",https://www.marmiton.org/recettes/recette_ramequins-fondants-au-chocolat_15816.aspx,pas noel
'The' tarte au citron meringuée,4.7,2822,162k,1446,55 min,6,très facile,bon marché,30 min,25 min,"['g de farine', 'g de beurre doux', 'g de sucre semoule', ""jaunes d'oeuf"", ""cl d'eau"", 'pincée de sel', 'citrons de taille moyenne', 'g de sucre semoule', 'oeufs', 'cuillère à soupe de maïzena', ""blancs d'oeuf"", 'g de sucre glace', 'cuillère à café de levure chimique']","On commence par la pâte sablée : mettre le four à préchauffer à 180°C (thermostat 6).

On sépare les blancs des jaunes d'oeufs. Fouetter les jaunes d'oeuf avec le sucre et 2 cuillères d'eau pour faire mousser. Mélanger au doigt la farine et le beurre coupé en petits cubes pour obtenir une consistance sableuse et afin que tout le beurre soit absorbé (il faut faire vite pour que le mélange ne ramollisse pas trop). Verser au milieu de ce ""sable"" le mélange liquide. Incorporer rapidement au couteau les éléments sans leur donner de corps. Former une boule avec les paumes et l'écraser 1 ou 2 fois pour rendre la boule plus homogène. Foncer un moule de 25 cm de diamètre avec la pâte sablée puis la recouvrir de papier sulfurisé et de haricots secs. Cuire à blanc 20 à 25 minutes (NB après baisser le four à 120°C/150°C environ pour la meringue). On poursuit avec la crème au citron : laver les citrons et en râper deux afin de récupérer le zeste. Mettre les zestes très fins dans une casserole avec le jus des citrons, le sucre et la Maïzena. Remuer et commencer à faire chauffer à feux doux. Battre les oeufs dans un récipient séparé. 
Une fois les oeufs battus, incorporer tout en remuant le jus de citron, le sucre, la Maïzena et les zestes. Mettre à feu vif et continuer à remuer à l'aide d'un fouet. 
Le mélange va commencer à s'épaissir. 
Veiller à toujours remuer lorsque les oeufs sont ajoutés car la crème de citron pourrait brûler. Ôter du feu et verser l'appareil sur le fond de tarte cuit. Laisser refroidir. Terminons par la meringue : monter les blancs en neige avec une pincée de sel. Quand ils commencent à être fermes, ajouter le sucre puis la levure. 
Fouetter jusqu'à ce que la neige soit ferme. Recouvrir la crème au citron de meringue puis enfourner la tarte à 120°C/150°C jusqu’à ce que la meringue dore (environ 10 minutes). Déguster Une part ?",https://www.marmiton.org/recettes/recette_the-tarte-au-citron-meringuee_22082.aspx,pas noel
Tiramisu (recette originale),4.7,2543,137k,3501,15 min,4,très facile,bon marché,15 min,no data,"['oeufs', 'g de sucre roux', 'sachet de sucre vanillé', 'g de mascarpone', 'biscuits à la cuillère', 'cl de café noir non sucré', 'g de cacao amer']",Séparer les blancs des jaunes d'oeufs. Mélanger les jaunes avec le sucre roux et le sucre vanillé. Ajouter le mascarpone au fouet. Monter les blancs en neige et les incorporer délicatement à la spatule au mélange précédent. Réserver. Mouiller les biscuits dans le café rapidement avant d'en tapisser le fond du plat. Recouvrir d'une couche de crème au mascarpone puis répéter l'opération en alternant couche de biscuits et couche de crème en terminant par cette dernière. Saupoudrer de cacao. Mettre au réfrigérateur 4 heures minimum puis déguster frais.,https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx,pas noel
Le crumble aux pommes du Chat qui Tousse,4.8,2157,104k,73,55 min,6,très facile,bon marché,25 min,30 min,"['pommes (des canada par exemple)', 'g de cassonade', 'g de farine de blé', 'g de beurre doux (le sortir 1/2 heure avant de commencer la recette)', 'petite cuillère de cannelle en poudre', 'sachet de sucre vanillé', 'citron']","Préchauffer le four à 210°C (thermostat 7). Peler, évider et découper les pommes en cubes grossiers, les répartir dans un plat allant au four. Les arroser de jus du citron et les saupoudrer de cannelle et de sucre vanillé. Dans un saladier, mélanger la farine et la cassonade. Puis ajouter le beurre en petits cubes et mélanger à la main de façon à former une pâte grumeleuse. Émietter cette pâte au dessus des pommes de façon à les recouvrir. Enfourner pour 30 minutes de cuisson. Servir tiède avec de la crème fouettée ou de la glace à la vanille.",https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx,pas noel
Tacos de sarrasin au crabe et à l’artichaut,0,0,0,0,40 min,24,facile,bon marché,25 min,15 min,"['boîtes de crabe nageur nautilus®', ""brins d'aneth"", 'galettes de sarrasin (blé noir)', ""fonds d'artichaut surgelés"", 'citron jaune', ""jaune d'oeuf"", 'cuillère à café de moutarde de dijon', ""cl d'huile neutre"", 'sel', 'poivre blanc du moulin']","Préparer les tacos de sarrasin : Préchauffer le four à 180°C. Découper dans les galettes de blé noir, à l’emporte-pièce, des disques de 6-7 cm de diamètre. Les faire cuire sur une plaque pendant 5 minutes. 
Déposer les disques chauds sur un rouleau à pâtisserie ou dans un ramequin pour leur donner une forme de tacos. Les laisser refroidir. Préparer la mousse d’artichauts : Déposer les fonds d’artichaut dans une casserole, saler légèrement, couvrir d’eau froide et porter à ébullition. 
Cuire les artichauts jusqu’à ce qu’ils soient tendres environ 15 minutes. Les laisser refroidir avant de mixer finement les artichauts au blender. Réserver au réfrigérateur. Préparer une mayonnaise : Mélanger le jaune d’œuf et la moutarde.  Monter la mayonnaise au fouet en versant peu à peu l’huile. Diluer une pincée de sel et quelques gouttes de citron jaune. Assaisonner la mayonnaise de ce mélange. Poivrer et réserver au réfrigérateur. Monter les tacos au moment de servir : Zester la moitié du citron jaune.  Laver et sécher l’aneth. Mélanger l’artichaut mixé et la mayonnaise. Déposer au fond de chaque tacos, une cuillère à café bombée d’artichaut. Egoutter soigneusement le Crabe Nageur Nautilus® et le répartir sur les tacos. 
Parsemer de zeste de citron. Décorer d’un brin d’aneth.",https://www.marmiton.org/recettes/recette_tacos-de-sarrasin-au-crabe-et-a-l-artichaut_529311.aspx,pas noel
Gâteau au yaourt,4.6,2146,120k,143,45 min,4,très facile,bon marché,15 min,30 min,"['paquet de levure chimique', 'pot de yaourt nature', ""pot d'huile de colza"", 'pots de sucre semoule', 'pots de farine', 'oeufs', 'zeste de citron jaune']","Préchauffer le four à 180°C (thermostat 6).

Mélanger tout simplement les ingrédients un à un en suivant l'ordre suivant : levure, yaourt huile sucre farine oeuf et zeste Beurrer un moule à manqué et y verser la pâte. Enfourner pour environ 30 minutes de cuisson. Vérifier la cuisson avec la pointe d'un couteau (elle doit ressortir sèche).",https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx,pas noel
Véritable moelleux au chocolat,4.6,1834,89k,542,40 min,6,très facile,bon marché,10 min,30 min,"['g de farine', 'g de beurre doux', 'g de sucre semoule', 'g de chocolat noir', 'oeufs', 'sachet de levure']","Préchauffer le four à 180°C (thermostat 6).

Faire fondre le chocolat dans une casserole. Hors du feu, ajouter le beurre, la farine et la levure. Fouetter les jaunes d’oeuf avec le sucre et un peu d'eau pour faire mousser puis l'ajouter à la préparation chocolatée. Battre les blancs en neige et les incorporer dans la casserole tout doucement. Verser le tout dans un moule beurré à bords hauts et enfourner pendant environ 35 minutes. On peut ajouter du sucre glace ou du chocolat fondu, pour décorer le dessus du gâteau. Déguster",https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx,pas noel
Gâteau aux pommes facile,4.7,1715,89k,2759,57 min,1,très facile,bon marché,12 min,45 min,"['g de sucre semoule', 'paquet de sucre vanillé', 'oeufs', 'paquet de levure chimique', 'g de farine', ""verre d'huile de colza"", 'pommes']","Préchauffer le four à 160°C (thermostat 5-6).
Mélanger tous les ingrédients de la pâte. Ajouter les pommes préalablement coupées en cube. Mélanger à nouveau à la spatule. Verser la pâte à gâteau dans un moule beurré et cuire pendant 40 à 50 minutes. Déguster !",https://www.marmiton.org/recettes/recette_gateau-aux-pommes-facile_13493.aspx,pas noel
Meringue pour les nuls,4.8,1593,73k,1268,1h05,20,très facile,bon marché,5 min,1 h,"[""blancs d'oeuf"", 'g de sucre semoule']","Quelques trucs pour bien réussir ces meringues : sortir les oeufs du réfrigérateur un quart d'heure avant de les utiliser. Ne surtout pas mélanger de jaunes aux blancs d'oeuf. Ajouter une pincée de sel avant de battre les blancs en neige. Utiliser un récipient plus haut que large et utiliser un batteur électrique (bien plus rapide et moins fatiguant)! On peut commencer : Battre les blancs d'oeuf en neige ferme. Ajouter le sucre par petites quantités tout en continuant de battre. Préchauffer le four à 120°C (thermostat 4). Déposer immédiatement de petits tas de meringue sur une plaque de four préalablement recouverte de papier sulfurisé. Cuire entre 30 minutes et 1 heure à 120°C. Au bout de 30 minutes, on obtient des meringues blanches et moelleuses. Au bout d'1 heure, on obtient des meringues rosées, craquantes et fondantes avec un coeur moelleux. Une fois cuites, décoller les meringues délicatement dès la sortie du four et laisser refroidir sur une grille.",https://www.marmiton.org/recettes/recette_meringue-pour-les-nuls_36610.aspx,pas noel
Pancakes légers au fromage blanc,5,5,0,0,15 min,4,facile,bon marché,10 min,5 min,"['g de farine', 'sachet de sucre vanillé', 'oeufs', 'cuillère à café de levure chimique', 'g de beurre', 'cl de lait', 'g de fromage blanc', 'pincée de sel']","Faire chauffer une poêle anti-adhésive. Pendant ce temps, battre les oeufs avec le sucre vanillé et la pincée de sel. Faire fondre le beurre au four micro-ondes et l’incorporer à la préparation. Ajouter la farine, la levure, le fromage blanc. Puis verser le lait petit à petit. 
La pâte doit être lisse et sans grumeaux. Déposer des petits tas de pâte dans la poêle chaude et laisser cuire 1 à 2 minutes. Lorsque des bulles apparaissent sur le dessus, retourner les pancakes et terminer la cuisson. Pour faire le plein de gourmandise, accompagner les pancakes de rondelles de banane et de noix de pécan.",https://www.marmiton.org/recettes/recette_pancakes-legers-au-fromage-blanc_392057.aspx,pas noel
