title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,category,links
Faire stériliser un foie gras,3.9,15,879,24,3h10,8,Niveau moyen,Coût moyen,2h30,40 min,"['g de sel', 'g de poivre moulu']","Acheter des foies de canard de 500 à 600 g ou de 700 à 800 g pour l'oie et de préférence provenant de bêtes fraîchement tuées. Les faire tremper dans de l'eau froide pendant 2 heures. Ouvrir délicatement les 2 lobes et dénerver. Sortir les veines apparentes. Peser les foies,les couper si nécessaire à la taille de vos bocaux et leur ajouter 16g de sel et 4g de poivre moulu au kilo de foie. Bien les enrober de ce mélange sur toutes les faces. Les mettre en bocal en les tassant bien, ajouter si nécessaire des morceaux de foie. Fermer les bocaux, les mettre à l'eau froide dans un stérilisateur ou un grand faitout. Il faut qu'ils soient très couverts. Compter 40 minutes de cuisson après ébullition.",aperitif/starter,https://www.marmiton.org/recettes/recette_faire-steriliser-un-foie-gras_11769.aspx
Magret de canard sauce foie gras,4.6,47,6.2k,184,30 min,4,facile,assez cher,15 min,15 min,"['magrets de canard', 'cl de crème liquide ou épaisse', 'bloc de foie gras cuit', 'cube de bouillon de volaille', ""cuillères à soupe d'armagnac""]","Commencez par préparer la sauce.
Versez dans une casserole la crème fraîche, et le foie gras coupé en dés. Mettez la casserole sur feu doux et mélangez au fouet jusqu'à ce que le foie gras soit bien fondu, ne faites surtout pas bouillir. Retirez du feu, ajoutez le morceau de cube de bouillon de volaille émietté et mélangez de nouveau. Réservez cette sauce, vous n'ajouterez qu'au dernier moment les cuillères d'armagnac. Striez le gras des magrets côté peau. Mettez-les à cuire sur feu vif côté peau dans une poêle sans matière grasse. Laissez cuire jusqu'à ce que le gras soit bien fondu et doré. Retournez-les ensuite et laissez-les cuire 3 à 6 min suivant la cuisson désirée : saignant ou rosé. Réchauffez la sauce et ajoutez-y l'armagnac. Découpez les magrets en tranches et mettez les sur un plat ou directement dans les assiettes (chaudes). Versez un peu de sauce dessus et servez le reste de sauce dans une saucière.

Accompagnez ce plat de tagliatelles, d'une poêlée de champignons ou même de pommes de terre sautées.",aperitif/starter,https://www.marmiton.org/recettes/recette_magret-de-canard-sauce-foie-gras_70341.aspx
"Verrines de foie gras, roquefort et poires",4.7,30,9.4k,37,10 min,4,facile,Coût moyen,10 min,no data,"['tranche de foie gras (environ 40 g)', 'petit pot de compote de poires', 'roquefort ou assimilé (saint-agur...)', 'crème fraîche épaisse', 'poivre du moulin', 'persil']","Commencer par introduire 2 cuillères à café de compote de poires au fond du verre. Utiliser de préférence de la compote sans sucre ajouté et avec morceaux. Découper la tranche de foie gras en petit cubes et répartir dans les verres. Dans un bol, mélanger le fromage persillé avec la crème jusqu'à obtenir une mousse homogène, de consistance légérement épaisse pour quelle se tienne dans le verre, incorporer le poivre (2 tours de moulin). La quantité de crème est liée au goût de chacun, celle-ci atténuant la force du fromage. Déposer une quenelle de mousse au roquefort sur le foie gras. Servir et déguster...",aperitif/starter,https://www.marmiton.org/recettes/recette_verrines-de-foie-gras-roquefort-et-poires_65145.aspx
Chutney à la mangue,4.5,23,2.3k,33,1h10,6,facile,Coût moyen,45 min,25 min,"['mangues vertes', 'piments rouges frais', 'g de gingembre frais', 'g de raisins secs et de fruits secs non salés', 'g de sucre', 'cl de vinaigre de xérès (ou autre selon disponibilité)', 'cuillères à café de sel']","Coupez les mangues en deux, ôtez le noyau, puis épluchez-les. Râpez la pulpe des fruits dans une grille cylindrique, grille à gros trous, au-dessus d'une passoire, puis saupoudrez-la de 2 cuillères à café de sel et laissez dégorger pendant 30 mn. Pendant ce temps, lavez les piments, coupez-les en deux, retirez le pédoncule et les graines, puis hachez grossièrement la pulpe. Passez celle-ci à la moulinette électrique en y incorporant un peu de vinaigre, jusqu'à ce que vous obteniez une pâte fine. Epluchez le gingembre et hachez-le. Hachez grossièrement les fruits secs. Réservez. Lorsque la mangue a suffisamment dégorgé, pressez-la avec le dos d'une cuillère pour en extraire toute l'eau. Réservez. Versez le reste du vinaigre et le sucre dans une casserole et placez celle-ci sur feu doux. Laissez cuire en mélangeant, jusqu'à ce que le sucre soit dissous, puis ajoutez la mangue et laissez cuire pendant encore 5 ou 6 mn. Incorporez ensuite la pâte de piment et le gingembre et poursuivez la cuisson pendant une dizaine de minutes. Au bout de ce temps, rectifiez l'assaisonnement, puis versez les raisins et les fruits secs et mélangez. Laissez cuire le tout pendant encore 5 min, puis retirez du feu et laissez refroidir légèrement. Mettez en pots ce chutney encore chaud. N.B. : on peut ajouter à la cuisson du cumin et de la coriandre en poudre.",aperitif/starter,https://www.marmiton.org/recettes/recette_chutney-a-la-mangue_15683.aspx
Opéra au foie gras,5,1,0,0,30 min,6,facile,Coût moyen,30 min,no data,"['g de foie gras lidl', ""tranches de pain d'épices"", 'cl de vin rouge', 'cuillères à soupe de vinaigre balsamique', 'feuilles de gélatine', 'cuillère à soupe de poivre noir', 'sel fin']","Préparez la gelée au vin rouge. Trempez la gélatine 10 min dans un bol d’eau froide. Dans une casserole, faites réduire le vin avec le vinaigre balsamique au ¾. Poivrez, ajoutez la gélatine essorée, mélangez. 
Déposez 6 emporte-pièces à millefeuilles (9 x 3,5 cm) sur un grand plat puis coulez la préparation dedans sur environ 2 mm d’épaisseur. Laissez prendre 2 h au réfrigérateur. Retirez la croûte des tranches de pain d’épices et découpez des tranches de 9 x 3,5 cm. Découpez des tranches de foie gras de mêmes dimensions et surtout de même épaisseur que le pain d’épices. Passez toutes les chutes de pain d’épices sous le gril du four 1 min puis réduisez-les en poudre. Réservez. Sortez les gelées du réfrigérateur et démoulez-les délicatement sur une planche à découper. Montez les opéras en déposant sur une tranche de pain d’épices, une tranche de foie gras, une 2ème tranche de pain d’épices et une 2ème tranche de foie gras. Salez, ajoutez un peu de poivre noir concassé. Terminez en disposant la gelée au vin rouge. Parsemez, si vous le souhaitez, de poudre de pain d’épices. Servez avec une salade de mesclun à l’huile de noisettes et des noisettes concassées.",aperitif/starter,https://www.marmiton.org/recettes/recette_opera-au-foie-gras_529235.aspx
Terrine de foie gras (micro-ondes),4.5,62,11k,96,2h18,6,facile,assez cher,2h15,3 min,"['foie gras de 500 g', 'cuillères à soupe de monbazillac (ou du porto blanc)', 'g de sel', 'poivre', 'gros sel pour trempage']","Tremper le foie gras entier dans un saladier rempli d'eau avec 2 cuillères à soupe de gros sel pendant une heure. Epongez-le. Dénervez-le (2 nerfs dans le gros lobe et 1 dans le petit) c'est un jeu d'enfant. Salez, poivrez. Placez-le dans une terrine (mieux vaut une trop petite que trop grande). Rajouter l'alcool. Laisser mariner au moins 1 heure au frais. Retirez-l'alcool et laissez le foie reposer à température ambiante avant de la faire cuire. Cuisezle foie par tranche de 20 secondes. (1 foie de 400 g cuit environ 2 mn et 20 secondes). On peut compter environ 20 secondes pour 50 grammes. Pour vérifier la cuisson, plantez un couteau au centre du foie. Si la lame est tiède il est cuit. Laissez 48 heures au froid avant de le déguster. Succès assuré!!!",aperitif/starter,https://www.marmiton.org/recettes/recette_terrine-de-foie-gras-micro-ondes_26060.aspx
Foie gras poêlé aux pommes,4.7,39,9.3k,110,20 min,1,très facile,assez cher,5 min,15 min,"['tranches de foie gras frais', 'pomme', 'goutte de vinaigre de framboise ou de xérès', 'poivre', 'sel', 'muscade']","Trancher le foie frais de canard ou d'oie, en tranches d'un gros 1/2 centimètre. Faire chauffer la poêle assez fort à sec. Y placer la ou les tranches de foie gras, laisser cuire 4 à 5 min. Essuyer la poêle et retourner le foie. Cuire selon son goût. Retirer saler, poivrer - arroser du vinaigre choisi.
Accompagnement : trancher les pommes, les faire revenir à la poêle dans un peu de beurre, saupoudrer d'un peu de noix muscade. Servir chaud.",aperitif/starter,https://www.marmiton.org/recettes/recette_foie-gras-poele-aux-pommes_13197.aspx
Le foie gras maison facile,4.3,24,10k,360,55 min,2,facile,assez cher,20 min,35 min,"[""foie gras cru (achetez-le de préférence surgelé vous aurez la certitude qu'il est très frais)"", 'sel', 'poivre', 'épices ou alcool au choix']","Cette recette n'a qu'un but, c'est de désacraliser la préparation du foie gras maison.
En fait, c'est très simple et le foie gras est loin d'être aussi fragile que ce que l'on pense.
Donc voilà trois méthodes pour des pots ou des terrines de 250 g de foie mi-cuit. Laissez tremper les foies 1 heure ou 2 dans de l'eau tiède salée histoire de les ramollir et de sortir le sang. Ensuite déveinage : au départ j'essayais d'enlever toutes les veines ça me prenait des heures.
Maintenant je fais au plus vite tant pis s'il en reste un peu et ça marche super comme ça.
Si vous faites de la charpie ce n'est absolument pas grave, car tout se reconstitue. Assaisonnement, au pif exactement comme pour un steak, et finalement je ne vois pas la différence avec avant ou je pesais au gramme près. 
Environ 1 toute petite cuillère à café de sel pour un foie et le poivre (fraîchement moulu question de saveur) une bonne pincée.
D'une manière générale mieux vaut pas assez que trop.
Ensuite les épices au choix et/ou l'alcool, par contre là, il faut avoir la main vraiment légère car on a vite fait de dénaturer le goût du foie gras. Puis je mets dans les pots ou en terrine, je tasse et je laisse mariner ou pas selon que j'ai le temps ou non. Pour les terrines : je fais cuire 35 min à 120°C dans un bain-marie.
Le seul impératif est que l'eau du bain-marie soit déjà bouillante au début de la cuisson et qu'elle soit à la même hauteur que le remplissage de la terrine.
Ensuite je tasse avec un carton entouré d'aluminium et un poids.
Et hop au frigo. Se conserve 10 jours au frigo. Pour les conserves (ma méthode préférée) : les pots fermés (couvercles ou rondelles neufs) dans la cocotte-minute, séparés par un torchon pour ne pas qu'ils se choquent et se brisent, 12 min à partir du sifflement et c'est fini.

Se garde 6 mois au frigo. Terrine au MICRO ONDES !!
Et oui ! Non seulement ça marche mais c'est bon et surtout ultra rapide mais un peu délicat.
Donc pour une terrine : 30 secondes par tranches de 10 s puissance maxi (900 W).
Quand le gras commence à affleurer à la surface c'est cuit (voire foie gras au micro-ondes du site pour plus de détails). Par contre, dans tout les cas mieux vaut attendre 3 ou 4 jours avant de déguster car au bout de ce temps le foie est vraiment meilleur.",aperitif/starter,https://www.marmiton.org/recettes/recette_le-foie-gras-maison-facile_53182.aspx
Confit d'oignons ultra rapide,4.6,69,6.9k,175,30 min,6,très facile,bon marché,5 min,25 min,"[""g d'oignon"", 'cuillère à café de sucre en poudre', 'cuillères à soupe de vinaigre balsamique', ""huile d'olive""]","C'est très simple, éplucher des oignons et les émincer. Faire chauffer une poêle avec quatre bonnes cuillères d'huile d'olive, puis y mettre les oignons. Les faire revenir à feu vif en veillant à ce qu'ils qu'ils n'accrochent pas. Si c'est le cas, mettez plutôt une cuillère d'eau que plein d'huile !! Ensuite, quand ils sont transparents, déglacer avec le vinaigre balsamique. Baissez le feu, puis ajoutez une cuillère à café de sucre et laissez mijoter encore 15 min. C'est prêt !!",aperitif/starter,https://www.marmiton.org/recettes/recette_confit-d-oignons-ultra-rapide_36636.aspx
Huîtres farcies à la charentaise,4.6,7,713,27,1h30,6,Niveau moyen,Coût moyen,1 h,30 min,"['huîtres', 'g de beurre', 'échalotes', ""gousse d'ail"", 'brins de persil', 'g de crème fraîche', 'g de farine', 'poivre', 'sel', 'chapelure']","Pour ouvrir les huîtres, posez-les sur un vieux plat métallique, mettez sur le feu ce qui permettra de récupérer le jus des huîtres. Faites chauffer suffisamment pour que la couverture supérieure éclate et s’entrouvre. Détachez-les de leur coquille. Mettez huîtres et jus dans une casserole et donnez-lui un coup de chaleur pour blanchir les huîtres dans leur propre eau. Egouttez-les, décantez puis filtrez leur eau et réservez-la pour la sauce. Ne jetez pas les coquilles, elles serviront. Pour préparez la sauce, épluchez et hachez menu l’ail et les échalotes, émincez les champignons. Hachez le persil. Faites fondre dans une casserole 50 g de beurre et mettez-y à suer l’ail et l’échalote pendant 5 à 6 mn. Ajoutez tous les champignons, le persil et l’eau des huîtres, laissez le tout sur un petit feu pendant que vous préparez la liaison. Dans une petite casserole réduisez de moitié 250 g de crème fraîche, versez la réduction sur la garniture et portez à nouveau à ébullition. Si vous craignez que cette sauce ne soit pas assez épaisse et vous pose des problèmes pour la manipulation des huîtres vous pouvez parfaire la liaison avec une cuillère à café de roux. Dans le fond des coquilles, mettez un peu de sauce, posez l’huître (ou plusieurs), couvrez de sauce et passez 5 mm à four vif après avoir parsemé de chapelure. Pour faire tenir les huîtres bien tapisser le fond du plat de gros sel.",aperitif/starter,https://www.marmiton.org/recettes/recette_huitres-farcies-a-la-charentaise_31882.aspx
