title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender,category
Les Timbales de Jeanne (saumon à la mousse de courgettes au micro-ondes),4.8,1670,78k,458,18 min,4,très facile,bon marché,15 min,3 min,"['tranches de saumon fumé', 'courgettes', 'oeufs', 'cl de crème fraîche épaisse', ""petite gousse d'ail"", ""cuillère à soupe d'huile d'olive"", 'aneth', 'menthe', 'sel', 'poivre']","Rincer, essorer et ciseler l'aneth et la menthe. Peler et émincer la gousse d'ail. Râper les courgettes. Les faire revenir dans 1 cuillère à soupe d'huile d'olive avec l'ail émincé et les herbes ciselées. Assaisonner (mais pas trop, attention au saumon fumé). Réserver et laisser un peu refroidir. Battre les oeufs et la crème en omelette. Mélanger cette préparation avec les courgettes râpées et éventuellement, donner un petit coup de mixeur pour obtenir l'aspect ""mousse"". Tapisser 4 ramequins avec les tranches de saumon fumé. Verser le mélange omelette-courgettes dans les ramequins tapissés de saumon. Faire cuire au micro-ondes pendant 2 à 3 minutes, selon la puissance (vérifier la cuisson vous-même, il n'y a que ça de vrai !). Déguster !",https://www.marmiton.org/recettes/recette_les-timbales-de-jeanne-saumon-a-la-mousse-de-courgettes-au-micro-ondes_21864.aspx,pas noel,aperitif/starter
Cake salé au jambon et aux olives,4.8,911,73k,1154,1h05,6,facile,Coût moyen,20 min,45 min,"['g de farine', 'g de jambon', ""g d'olive verte dénoyautées"", 'g de gruyère râpé', 'oeufs', 'cl de lait', 'sachet de levure chimique', ""cuillère à soupe d'huile""]","Préchauffer le four à 180°C (thermostat 6). Couper les olives en rondelles et le jambon en morceaux. Verser les oeufs dans la farine et mélanger. Ajouter le lait et l'huile puis mélanger. Ajouter le jambon, les olives et le gruyère puis mélanger. Ajouter la levure et, pour ne pas changer, mélanger. Mettre le tout dans un plat à cake au préalable beurré et placer au four 45 min.",https://www.marmiton.org/recettes/recette_cake-sale-au-jambon-et-aux-olives_18876.aspx,pas noel,aperitif/starter
Petits croissants au saumon fumé (toast apéritif),4.8,869,88k,326,40 min,16,très facile,Coût moyen,15 min,25 min,"['pâte feuilletée', 'tranches de saumon fumé', 'cuillères de lait']","Préchauffer le four à 200°C (thermostat 6-7).
Couper votre rond de pâte en 4, puis chaque quart en 4; ce qui fait 16 parts. Disposer dessus des petits morceaux de saumon fumé. Rouler chaque petite part en forme de petit croissant. Passer un petit peu de lait dessus, et mettre à four 25 min.",https://www.marmiton.org/recettes/recette_petits-croissants-au-saumon-fume-toast-aperitif_20483.aspx,pas noel,aperitif/starter
Tarte thon et tomate,4.6,803,77k,333,35 min,6,très facile,bon marché,10 min,25 min,"['pâte brisée', 'cl de crème épaisse', 'petite boîte de concentré de tomates', 'g de thon en boîte', 'sel', 'herbes de provence', 'fromage râpé', 'oeuf']","Préchauffer le four à 210°C (thermostat 7). Etaler la pâte brisée et la piquer avec une fourchette. Emietter le thon sur la pâte. Mélanger dans un gros bol : la crème, le concentré de tomate, l'oeuf et le sel; verser la préparation sur le thon. Saupoudrer d'herbes de Provence, recouvrir de fromage râpé, puis faire cuire 25 min (selon puissance du four).",https://www.marmiton.org/recettes/recette_tarte-thon-et-tomate_14139.aspx,pas noel,aperitif/starter
Tacos de sarrasin au crabe et à l’artichaut,0,0,0,0,40 min,24,facile,bon marché,25 min,15 min,"['boîtes de crabe nageur nautilus®', ""brins d'aneth"", 'galettes de sarrasin (blé noir)', ""fonds d'artichaut surgelés"", 'citron jaune', ""jaune d'oeuf"", 'cuillère à café de moutarde de dijon', ""cl d'huile neutre"", 'sel', 'poivre blanc du moulin']","Préparer les tacos de sarrasin : Préchauffer le four à 180°C. Découper dans les galettes de blé noir, à l’emporte-pièce, des disques de 6-7 cm de diamètre. Les faire cuire sur une plaque pendant 5 minutes. 
Déposer les disques chauds sur un rouleau à pâtisserie ou dans un ramequin pour leur donner une forme de tacos. Les laisser refroidir. Préparer la mousse d’artichauts : Déposer les fonds d’artichaut dans une casserole, saler légèrement, couvrir d’eau froide et porter à ébullition. 
Cuire les artichauts jusqu’à ce qu’ils soient tendres environ 15 minutes. Les laisser refroidir avant de mixer finement les artichauts au blender. Réserver au réfrigérateur. Préparer une mayonnaise : Mélanger le jaune d’œuf et la moutarde.  Monter la mayonnaise au fouet en versant peu à peu l’huile. Diluer une pincée de sel et quelques gouttes de citron jaune. Assaisonner la mayonnaise de ce mélange. Poivrer et réserver au réfrigérateur. Monter les tacos au moment de servir : Zester la moitié du citron jaune.  Laver et sécher l’aneth. Mélanger l’artichaut mixé et la mayonnaise. Déposer au fond de chaque tacos, une cuillère à café bombée d’artichaut. Egoutter soigneusement le Crabe Nageur Nautilus® et le répartir sur les tacos. 
Parsemer de zeste de citron. Décorer d’un brin d’aneth.",https://www.marmiton.org/recettes/recette_tacos-de-sarrasin-au-crabe-et-a-l-artichaut_529311.aspx,pas noel,aperitif/starter
Blinis faciles maison,4.8,742,55k,374,25 min,4,très facile,bon marché,5 min,20 min,"['yaourt bulgare', 'oeuf', 'pot de yaourt de farine', 'sachet de levure chimique', 'pincée de sel']","Mélanger tous les ingrédients ensemble puis laisser reposer la pâte pendant 1 heure au réfrigérateur. Cuire dans un poêle à blinis ou sur une poêle antiadhésive. Lorsqu'ils font des trous, les retourner. Servir de suite ou réchauffer avant de passer à table.",https://www.marmiton.org/recettes/recette_blinis-faciles-maison_22261.aspx,pas noel,aperitif/starter
Chèvre en feuilleté,4.7,713,88k,269,35 min,4,très facile,bon marché,20 min,15 min,"['bûche de fromage de chèvre', 'pâte feuilletée', 'oeuf', 'basilic']","Préchauffer le four à 210°C (thermostat 7). Couper la bûche en 8 rondelles égales. Avec un verre, couper 16 ronds dans la pâte feuilletée. Poser chaque rondelle de fromage sur un rond de pâte feuilletée, parsemer de basilic. Recouvrir avec la pâte feuilletée restante. Fermer tout autour les petits pâtés ainsi réalisés. Dorer au jaune d'oeuf avant de passer au four 15 min. Se marie très bien avec une salade verte. Déguster",https://www.marmiton.org/recettes/recette_chevre-en-feuillete_11921.aspx,pas noel,aperitif/starter
Quiche tatin,4.7,642,76k,225,45 min,6,très facile,bon marché,15 min,30 min,"['pommes de terre', 'fines tranches de lard', 'oeufs entiers', 'cl de crème fraîche', 'fromage de chèvre', 'g de gruyère râpé', 'pâte feuilletée', 'sel', 'poivre']","Cuire les pommes de terre à la vapeur.
Préchauffer le four à 200°C (thermostat 6-7). Tapisser le moule de tranches de lard. Mettre le râpé sur les tranches de lard. Couper les pommes de terre en rondelles sur le râpé, puis le fromage de chèvre en tranches. Battre dans un bol la crème, les oeufs, le sel et poivre, verser sur la préparation. Mettre la pâte feuilletée dessus comme une tarte tatin et la piquer. Cuire pendant 30 min suivant le four.",https://www.marmiton.org/recettes/recette_quiche-tatin_14309.aspx,pas noel,aperitif/starter
Velouté de champignons,4.8,614,41k,145,50 min,3,très facile,bon marché,10 min,40 min,"['cuillères à soupe de beurre', 'oignon', 'g de champignon de paris surgelés', 'cuillères à soupe de farine', ""l de bouillon (ou d'eau)"", 'l de lait', 'citron', 'cuillères à soupe de crème fraîche', 'cuillère à soupe de persil haché', 'sel', 'poivre']","Faire fondre dans une casserole 3 cuillères à soupe de beurre. Ajouter un petit oignon haché et les champignons de Paris coupés en tout petits morceaux. Saler, poivrer, saupoudrer d’une cuillère à soupe de persil haché. Remuer bien les champignons dans le beurre chaud. Couvrir et laisser cuire à feu doux 1/4 heure. Ajouter alors 2 cuillères à soupe de farine en remuant sans cesse. Ajouter 1/4 litre de bouillon (ou d’eau) et 1/2 litre de lait. Faire cuire à feu doux en remuant de temps en temps. Lorsque le potage commence à bouillir, baisser le feu et laisser cuire à découvert encore 1/4 d’heure. Quelques minutes avant de servir ajouter le jus d’un citron puis 2 cuillères à soupe de crème fraîche.",https://www.marmiton.org/recettes/recette_veloute-de-champignons_26749.aspx,pas noel,aperitif/starter
Pancakes légers au fromage blanc,5,5,0,0,15 min,4,facile,bon marché,10 min,5 min,"['g de farine', 'sachet de sucre vanillé', 'oeufs', 'cuillère à café de levure chimique', 'g de beurre', 'cl de lait', 'g de fromage blanc', 'pincée de sel']","Faire chauffer une poêle anti-adhésive. Pendant ce temps, battre les oeufs avec le sucre vanillé et la pincée de sel. Faire fondre le beurre au four micro-ondes et l’incorporer à la préparation. Ajouter la farine, la levure, le fromage blanc. Puis verser le lait petit à petit. 
La pâte doit être lisse et sans grumeaux. Déposer des petits tas de pâte dans la poêle chaude et laisser cuire 1 à 2 minutes. Lorsque des bulles apparaissent sur le dessus, retourner les pancakes et terminer la cuisson. Pour faire le plein de gourmandise, accompagner les pancakes de rondelles de banane et de noix de pécan.",https://www.marmiton.org/recettes/recette_pancakes-legers-au-fromage-blanc_392057.aspx,pas noel,aperitif/starter
