title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,category,links
Boeuf à la sauce d'huîtres,5,5,302,3,30 min,2,très facile,bon marché,15 min,15 min,"['steaks de bœuf', 'maïzena', 'oignon', 'cuillères à soupe de huître', 'cuillère à soupe de soja', 'poignée de coriandre fraîche', ""verre d'eau""]","Couper en lamelle le bœuf (préférez le congelé, il sera plus facile à couper). Saupoudrer de maïzena (chaque lamelle doit être recouverte, la maïzena sur la viande va attendrir celle ci.) Couper l'oignon en petites lamelles. Dans de l'huile chaude, verser la viande et la faire rissoler, puis ajouter les oignons et remuer. Verser la sauce de soja puis la sauce d'huîtres et rajouter en fin de cuisson la coriandre fraîche. Pour avoir plus de sauce, mélanger une cuillère à café bombée de maïzena avec un demi-verre d'eau. Servir avec du riz blanc.",meal,https://www.marmiton.org/recettes/recette_boeuf-a-la-sauce-d-huitres_48729.aspx
Boeuf braisé aux carottes,4.8,408,29k,96,1h20,6,très facile,bon marché,20 min,1 h,"['morceau de paleron ou de bourguignon lkg', 'oignons', 'tranche de lard coupée en dés', 'matière grasse', 'petite boîte de concentré de tomates', 'laurier', 'thym', 'sauge', 'tablette de bouillon de boeuf', 'poivre', 'sel', ""gousses d'ail"", 'carottes']","Couper la viande en morceaux égaux. La faire revenir dans une cocotte en fonte, dans laquelle vous avez fait chauffer la matière grasse. Une fois les morceaux revenus de tous les côtés, les retirer et faire revenir les oignons émincés et les lardons. Préparer le bouillon de boeuf avec 1/2 litre d'eau. Ajouter la viande dans la cocotte, y verser le bouillon, le concentré de tomates, les carottes épluchées et coupées en tronçons, l'ail et les herbes. Assaisonner avec le sel etle poivre, mélanger et laisser mijoter 1h30 à feu doux.",meal,https://www.marmiton.org/recettes/recette_boeuf-braise-aux-carottes_13296.aspx
Tournedos de boeuf sauce miel gingembre,3.9,9,705,29,45 min,2,facile,Coût moyen,25 min,20 min,"['tournedos de boeuf (150 g chacun)', 'cuillères à soupe de sauce soja', 'cuillère à soupe de miel liquide', 'gingembre fraîche', 'cuillères à soupe de vin de cuisson chinois (facultatif)', ""petit verre d'eau"", 'g de beurre en petits dés', ""cuillère à soupe d'huile d'olive""]","Eplucher le gingembre et le couper en lamelles de 2 mm de large (pour les retirer facilement en fin de cuisson). Mettre dans une casserole le gingembre, soja, miel, eau, vin de cuisson chinois (si vous n'en avez pas ne pas le remplacer par du vin français!). Faire frémir sur feu moyen/doux et réduire de 3/4. Retirer les lamelles de gingembre. Monter la sauce au beurre (c'est à dire incorporer, hors du feu, les petits dés de beurre froids en fouettant). Et voilà ! Réserver. Faire cuire les tournedos dans 1 noisette de beurre et l'huile d'olive (pour que le beurre ne brûle pas) environ 2 min par face. Retirer du feu et faire reposer 2 min sous feuille d'aluminium pour que la viande s'attendrisse. C'est prêt! Servir ce tournedos nappé de sauce, accompagné par des pommes de terre sautées.",meal,https://www.marmiton.org/recettes/recette_tournedos-de-boeuf-sauce-miel-gingembre_71298.aspx
Boeuf bourguignon,4.6,299,40k,726,6 h,4,facile,Coût moyen,1 h,5 h,"['g de bourguignon', 'oignons', 'carottes', 'bouquet garni', 'bouteille de vin rouge assez bon', 'g de beurre', 'sel', 'poivre']","Détailler la viande en cubes de 3 cm de côté, enlever les gros morceaux de gras. Couper l'oignon en morceaux. Le faire revenir dans une poêle au beurre. Une fois transparent, le verser dans une cocotte en fonte de préférence. Procéder de même avec la viande mais en plusieurs fois, jusqu'à ce que tous les morceaux soient cuits. Les ajouter au fur et à mesure dans la cocotte. Ne pas avoir peur d'ajouter du beurre entre chaque fournée. Quand toute la viande est dans la cocotte, déglacer la poêle avec de l'eau ou du vin et faire bouillir en raclant pour récupérer le suc. Saler, poivrer, ajouter au reste. Recouvrir le tout avec une partie du vin et faire mijoter quelques heures avec le bouquet garni et les carottes en rondelles. Le lendemain, faire mijoter au moins 2 heures en plusieurs fois, ajouter du vin ou de l'eau si nécessaire.",meal,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx
Le Boeuf Noël de Susanne,4.9,22,1.7k,122,2h30,12,facile,Coût moyen,30 min,2 h,"['kg de boeuf à braiser', 'oignons', 'carottes', 'vin de bourgogne rouge', 'kg de marrons cuits', ""tranches de pain d'épices"", 'épices enfermées dans un morceau de mousseline, romarin, sauge, 3 clous de girofle, 2 feuilles de laurier, 2 chilis, des graines de cardamome, 1 bâton de cannelle', 'poivre', 'sel', 'tablette de bouillon de boeuf', ""cuillères à soupe d'huile végétale""]","Dégraisser la viande et la couper en cubes. Eplucher la carotte et les oignons et les couper en petits morceaux. Chauffer l'huile dans une grande cocotte, mettre la viande et la faire dorer. Enlever la viande, faire revenir les oignons et les carottes. Quand le mélange commence à brunir, ajouter le vin, la tablette de bouillon et les épices dans leur petit sac de mousseline ainsi que la viande. Saler et poivrer. Couvrir, laisser cuire au feu moyen pendant 2 h. Enlever la viande de nouveau ainsi que les épices, ajouter les marrons et le pain d'épices, faire cuire pendant 15 min. Mixer la sauce jusqu'à ce qu'elle soit toute crémeuse, rajouter la viande, laisser tout réchauffer, servir très chaud.",meal,https://www.marmiton.org/recettes/recette_le-boeuf-noel-de-susanne_64322.aspx
Filet de boeuf en croûte aux poivres,4.7,9,569,33,55 min,6,facile,Coût moyen,20 min,35 min,"['kg de boeuf dans le filet ou le rumsteak ficelé non bardé', 'cuillères à soupe de poivre mélangés', 'g de pâte feuilletée', ""cuillères à soupe d'huile"", 'g de beurre', 'cuillère à café de gros sel de mer', ""jaune d'oeuf""]","Préchauffer le four à 210°C (thermostat 7). Concasser les poivres. Badigeonner la viande avec l'huile et l'enrober de la moitié du poivre. Dans une cocotte à feu vif, chauffer l'huile restante et le beurre. Y dorer la viande sur toutes ses faces pendant 10 à 12 minutes. Sortir la viande de la cocotte et la rouler dans le gros sel et poivre restant puis laisser reposer 5 minutes. Battre le jaune d'oeuf avec 1 cuillère à café d'eau. Etaler la pâte feuilletée sur le plan de travail, poser la viande au centre, recouvrir de pâte, souder les bords avec un peu d'eau et badigeonner de jaune d'oeuf. Enfourner pour 35 minutes.",meal,https://www.marmiton.org/recettes/recette_filet-de-boeuf-en-croute-aux-poivres_20024.aspx
Rôti de boeuf en croûte,4.7,125,14k,365,1 h,4,facile,Coût moyen,25 min,35 min,"['g de boeuf non bardé', 'rouleau de pâte feuilletée déjà étalée (275g)', 'g de champignon de paris', ""jaune d'oeuf"", 'citron', 'bouquet de persil', ""jaune d'oeuf"", 'cuillère à soupe de farine', 'cuillères à soupe de lait', 'cuillère à soupe de crème fraîche', 'g de beurre', ""cuillères à soupe d'huile"", 'poivre', 'sel']","Dans une cocotte, faites dorer le rôti à l'huile chaude sur toutes les faces. Laissez-le complétement égoutter et refroidir sur une grille. Salez et poivrez-le. Entre-temps, nettoyez les champignons. Rincez-les rapidement et émincez-les. Placez-les dans une poêle. Salez et poivrez-les. Ajoutez le beurre, le jus du 1/2 citron et le persil ciselé. Faites-les cuire à feu vif jusqu'à ce qu'il ne reste plus de liquide. Hachez-les grossièrement. Incorporez un jaune d'oeuf et la crème. Préchauffez le four à thermostat 8 (240°C). Déroulez la pâte sur la plan de travail. Etalez au centre 1/3 des champignons. Installez le rôti dessus. Tartinez-le du reste des champignons. A l'aide d'un pinceau, badigeonnez de lait la pâte autour du rôti. Repliez-la afin de l'enfermer totalement et appuyez du bout des doigts pour souder les pliures. Saupoudrez une plaque à pâtisserie de farine. Posez le feuilleté dessus, pliures par en-dessous. Découpez des motifs dans les chutes de pâte et collez-les au jaune d'oeuf, dilué avec le reste du lait. Dorez la surface, enfournez et faites cuire 10 mn. Ramenez le thermostat sur 6/7 (190°C), laissez cuire et dorer 25 mn. Servez chaud avec une poêlée de champignons des bois.",meal,https://www.marmiton.org/recettes/recette_roti-de-boeuf-en-croute_12191.aspx
Sauté de boeuf 5 épices aux oignons,4.7,116,14k,71,50 min,3,facile,bon marché,30 min,20 min,"['g de viande de boeuf (plat de tranche de préférence)', 'oignon', 'brins de ciboulette', 'cuillère à soupe de sauce soja', ""cuillère à soupe de sauce d'huître (facultatif, si vous n'aimez pas, mais c'est meilleur avec)"", 'cuillère à café de sucre en poudre blanc', 'cuillère à café de poivre moulu noir', 'cuillère à café de curry', 'cuillère à café d\'épices ""', 'pincée de sel', ""cuillères à soupe d'huile""]","Coupez la viande en petites tranches très fines et réservez dans un bol. Emincez l'oignon, puis la ciboulette et mettre de côté. Assaisonnez la viande avec la sauce soja, la sauce d'huître, le sucre, le curry et le ""5 épices"". Bien mélanger (avec les mains!) et laissez macérer pendant 5 min. Pendant ce temps, versez l'huile dans une grande poêle. Lorsque l'huile est chaude (à feu fort), faites-y revenir l'oignon pendant 1 mn (vous devez sentir une odeur subtile d'oignon se dégager). Ajoutez ensuite la viande assaisonnée, et faites revenir jusqu'à ce que la viande soit marron encore légèrement rose (environ 3 min... mais pas plus!! sinon la viande devient dure). Eteignez le feu et continuez à mélanger le tout. Ajoutez la ciboulette et le sel (ajustez selon votre goût). C'est prêt!",meal,https://www.marmiton.org/recettes/recette_saute-de-boeuf-5-epices-aux-oignons_21792.aspx
Tournedos Rossini,4.8,53,6.5k,145,35 min,4,facile,assez cher,20 min,15 min,"['tournedos de boeuf', 'tranches de pain de mie brioché rassis', 'g de beurre', 'cl de cognac', 'cl de madère', 'cl de crème fraîche épaisse', 'belles tranches de foie gras', 'rondelles de truffe fraîche', 'poivre', 'sel']","Découpez le pain en disques à la taille des tournedos. Faites-les dorer sur les 2 faces dans 50 g de beurre chaud.
Réservez au chaud. Faites chauffer le cognac dans une petite casserole. Faites fondre le reste de beurre jusqu'à ce qu'il prenne une couleur noisette. Faites-y revenir les tournedos à feu vif, 3 à 5 minutes selon la cuisson désirée, en les retournant à mi-cuisson. Salez, poivrez et flambez-les avec le cognac. Posez les rondelles de pain dans les assiettes de services maintenues au chaud, puis déposez un tournedos sur chaque.
Remettez au chaud (couvert d'aluminium, dans le four à 100°C (thermostat 3-4) par exemple). Versez le madère dans la poêle pour déglacer, grattez les sucs de cuisson et ajoutez la crème. Salez, poivrez.
Faites épaissir la sauce à feu doux en remuant bien. Déposez une tranche de foie gras sur chaque tournedos, puis une rondelle de truffe et enfin nappez de sauce. Servez aussitôt, avec une poêlée de cèpes et une purée de pommes de terre et céleri.",meal,https://www.marmiton.org/recettes/recette_tournedos-rossini_25347.aspx
Cailles au foie gras,4.7,22,1.1k,30,50 min,4,très facile,assez cher,20 min,30 min,"['cailles bien dodues, prêtes à cuire', 'g de foie gras mi-cuit', 'g de raisin frais, pelés et épépinés', ""cuillères de graisse d'oie fine"", 'cl de sauternes', 'poivre blanc au moulin', 'sel']","Des cailles bien dodues et fraîches se reconnaissent à leur œil brillant et bombé. Farcies de foie gras et mijotées en cocotte au vin blanc, elles constituent un plat raffiné. Couper le foie gras en 8 morceaux de même taille. Les poivrer. Farcir chaque caille avec 2 morceaux de foie gras et 2 grains de raisin. Faire chauffer 2 cuillerées à soupe de graisse d'oie dans une cocotte et y poser les cailles après les avoir bridées. Les faire dorer sur feu modéré pendant 5 minutes en les retournant sur tous les côtés. Ajouter les grains de raisin restants et la moitié du vin. Saler et poivrer. Faire chauffer de 2 à 3 minutes sur feu assez vif, puis baisser le feu et laisser mijoter tranquillement pendant 20 minutes. Egoutter les cailles ainsi que les grains de raisin et les déposer dans un plat creux. Tenir le tout au chaud. Remettre la cocotte sur feu vif et y verser le reste du vin. Faire bouillir pendant 2 minutes en grattant le fond du récipient avec une spatule en bois. Rectifier l'assaisonnement et verser ce jus sur les cailles au foie gras à travers une passoire très fine. Servir aussitôt",meal,https://www.marmiton.org/recettes/recette_cailles-au-foie-gras_18233.aspx
