title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender
Blanquette de veau facile,4.9,2539,151k,916,2h15,4,très facile,Coût moyen,15 min,2 h,"['kg de blanquette de veau', 'cube de bouillon de légumes', 'bouillon de poule', 'carottes', 'oignon jaune', 'petite boîte de champignon (coupés)', 'petit pot de crème fraîche', 'citron', ""jaune d'oeuf"", 'farine', 'cl de vin blanc', 'sel', 'poivre']","Faire revenir la viande dans un peu de beurre doux jusqu'à ce que les morceaux soient un peu dorés. Saupoudrer de 2 cuillères de farine. Bien remuer. Ajouter 2 ou 3 verres d'eau, les cubes de bouillon, le vin et remuer. Ajouter de l'eau si nécessaire pour couvrir. Couper les carottes en rondelles et émincer les oignons puis les incorporer à la viande, ainsi que les champignons. Laisser mijoter à feu très doux environ 1h30 à 2h00 en remuant. Si nécessaire, ajouter de l'eau de temps en temps. Dans un bol, bien mélanger la crème fraîche, le jaune d’oeuf et le jus de citron. Ajouter ce mélange au dernier moment, bien remuer et servir tout de suite.",https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile_19219.aspx,pas noel
Filet mignon en croûte,4.8,1455,102k,232,1 h,6,très facile,bon marché,15 min,45 min,"['filets mignons de porc', 'pâtes feuilletées', 'tranches de jambon blanc', 'g de gruyère râpé', 'oignons jaunes', ""jaunes d'oeuf""]","Peler et émincer les oignons. Les faire revenir dans une sauteuse avec 20 g de beurre pendant 3 minutes environ. Les retirer de la sauteuse et les réserver. Dans la même sauteuse, faire revenir les filets mignons de chaque côté. Laisser cuire 10 minutes à feu doux. Réincorporer les oignons. Poursuivre la cuisson pendant 5 minutes. Saler, poivrer. Réserver. Dérouler les pâtes feuilletées. Déposer sur chaque pâte deux tranches de jambon et 100 g de gruyère. Saler et poivrer. Y déposer un filet sur chaque pâte garnie et napper de sauce aux oignons. Replier la pâte autour de la viande et souder les bords à l'aide du jaune d'oeuf préalablement battu et d'un pinceau alimentaire. Enfourner pour 45 minutes de cuisson à 200°C (thermostat 6-7).",https://www.marmiton.org/recettes/recette_filet-mignon-en-croute_14407.aspx,pas noel
Lasagnes à la bolognaise,4.9,1213,96k,1207,2h05,8,Niveau moyen,Coût moyen,30 min,1h35,"['paquet de pâtes de lasagnes', 'oignons jaunes', ""gousses d'ail"", 'branche de céleri', 'carotte', 'g de viande de boeuf hachée', 'g de purée de tomate', ""cl d'eau"", 'cl de vin rouge', 'feuilles de laurier', 'thym', 'basilic', 'pincées de muscade râpée', 'g de fromage râpé', 'g de parmesan', 'sel', 'poivre', 'g de farine', 'g de beurre doux', 'l de lait', 'g de beurre doux']","Faire revenir gousses hachées d'ail et les oignons émincés dans un peu d'huile d'olive. Ajouter la carotte et la branche de céleri hachée puis la viande et faire revenir le tout. Au bout de quelques minutes, ajouter le vin rouge. Laisser cuire jusqu'à évaporation. Ajouter la purée de tomates, l'eau et les herbes.
Saler, poivrer, puis laisser mijoter à feu doux 45 minutes. Préparer la béchamel : faire fondre le beurre. Hors du feu, ajouter la farine d'un coup. Remettre sur le feu et remuer avec un fouet jusqu'à l'obtention d'un mélange bien lisse. Ajouter le lait peu à peu. Remuer sans cesse, jusqu'à ce que le mélange s'épaississe. Ensuite, parfumer avec la muscade, saler, poivrer. Laisser cuire environ 5 minutes, à feu très doux, en remuant. Réserver. Préchauffer le four à 200°C (thermostat 6-7).
Huiler le plat à lasagnes. Poser une fine couche de béchamel puis des feuilles de lasagnes, de la bolognaise, de la béchamel et du parmesan.
Répéter l'opération 3 fois de suite. Sur la dernière couche de lasagnes, ne mettre que de la béchamel et recouvrir de fromage râpé. Parsemer quelques noisettes de beurre. Enfourner pour environ 25 minutes de cuisson. Déguster",https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx,pas noel
Quiche lorraine,4.6,973,110k,283,1 h,4,très facile,bon marché,15 min,45 min,"['g de pâte brisée', 'g de lardons', 'g de beurre', 'oeufs', 'cl de crème fraîche', 'cl de lait', 'muscade', 'sel', 'poivre']","Préchauffer le four à 180°C (thermostat 6).

Etaler la pâte dans un moule, la piquer à la fourchette. Parsemer de copeaux de beurre. Faire rissoler les lardons à la poêle. Battre les oeufs, la crème fraîche et le lait. Ajouter les lardons. Assaisonner de sel, de poivre et de muscade. Verser sur la pâte. Cuire 45 à 50 min. C'est prêt Déguster",https://www.marmiton.org/recettes/recette_quiche-lorraine_30283.aspx,pas noel
Tacos de sarrasin au crabe et à l’artichaut,0,0,0,0,40 min,24,facile,bon marché,25 min,15 min,"['boîtes de crabe nageur nautilus®', ""brins d'aneth"", 'galettes de sarrasin (blé noir)', ""fonds d'artichaut surgelés"", 'citron jaune', ""jaune d'oeuf"", 'cuillère à café de moutarde de dijon', ""cl d'huile neutre"", 'sel', 'poivre blanc du moulin']","Préparer les tacos de sarrasin : Préchauffer le four à 180°C. Découper dans les galettes de blé noir, à l’emporte-pièce, des disques de 6-7 cm de diamètre. Les faire cuire sur une plaque pendant 5 minutes. 
Déposer les disques chauds sur un rouleau à pâtisserie ou dans un ramequin pour leur donner une forme de tacos. Les laisser refroidir. Préparer la mousse d’artichauts : Déposer les fonds d’artichaut dans une casserole, saler légèrement, couvrir d’eau froide et porter à ébullition. 
Cuire les artichauts jusqu’à ce qu’ils soient tendres environ 15 minutes. Les laisser refroidir avant de mixer finement les artichauts au blender. Réserver au réfrigérateur. Préparer une mayonnaise : Mélanger le jaune d’œuf et la moutarde.  Monter la mayonnaise au fouet en versant peu à peu l’huile. Diluer une pincée de sel et quelques gouttes de citron jaune. Assaisonner la mayonnaise de ce mélange. Poivrer et réserver au réfrigérateur. Monter les tacos au moment de servir : Zester la moitié du citron jaune.  Laver et sécher l’aneth. Mélanger l’artichaut mixé et la mayonnaise. Déposer au fond de chaque tacos, une cuillère à café bombée d’artichaut. Egoutter soigneusement le Crabe Nageur Nautilus® et le répartir sur les tacos. 
Parsemer de zeste de citron. Décorer d’un brin d’aneth.",https://www.marmiton.org/recettes/recette_tacos-de-sarrasin-au-crabe-et-a-l-artichaut_529311.aspx,pas noel
Amour de saumon en papillote,4.7,967,64k,301,50 min,4,très facile,Coût moyen,25 min,25 min,"['pavés de saumon frais', 'tomates cerise', 'champignons de paris frais', ""gousse d'ail"", ""brins d'aneth"", ""huile d'olive"", 'citron jaune', 'sel', 'poivre du moulin']","Préchauffer le four à 180°C (thermostat 6). Laver, essorer et ciseler l'aneth. Peler et émincer la gousse d'ail finement. Réserver. Emincer les champignons après les avoir nettoyés. Couper les tomates cerise en deux. Déposer au centre de chaque feuille de papier cuisson un pavé de saumon, ajouter les tomates et les champignons tout autour. Parsemer les pavés de saumon d'aneth et d'ail et les arroser d'un filet de jus de citron. Poivrer, saler et terminer par un filet d'huile d'olive. Fermer les papillotes et les mettre au four pendant 25 à 30 minutes. Déguster.",https://www.marmiton.org/recettes/recette_amour-de-saumon-en-papillote_21494.aspx,pas noel
Sauté de veau au chorizo,4.8,945,79k,122,1h20,6,très facile,bon marché,20 min,1 h,"['kg de sauté de veau', 'chorizo (doux ou extra fort selon votre goût)', 'boîtes de pulpe de tomate', ""pot d'olive verte dénoyautées"", 'oignons', 'bouquet de basilic', 'bouquet garni', ""gousse d'ail"", ""cuillères à soupe d'huile""]","Emincer l'oignon et détailler le chorizo pelé en rondelles. Découper le veau en morceaux. Faire revenir veau et oignons émincés jusqu'à coloration dans l'huile. Ajouter le chorizo puis la pulpe de tomate, le basilic haché et enfin les olives. Couvrir et faire mijoter à feu doux 1 heure minimum. Ce plat est encore meilleur préparé la veille et réchauffé le jour même.",https://www.marmiton.org/recettes/recette_saute-de-veau-au-chorizo_17027.aspx,pas noel
"Poulet à la moutarde, à l'estragon et aux champignons",4.7,930,81k,55,40 min,2,très facile,bon marché,10 min,30 min,"['blancs de poulet sans la peau', 'g de champignon de paris émincés', ""cube de bouillon de volaille dissout dans 1/2 verre d'eau"", 'cuillères à café de moutarde', 'cuillères à café de crème fraîche allégée', ""cuillères à café d'estragon"", ""cuillères à café d'huile d'olive"", 'échalotes émincée', 'sel', 'poivre']","Faire revenir les échalotes dans l'huile d'olive 3 min sans faire roussir. Ajouter les champignons et laisser cuire 2 min. Ajouter le bouillon de volaille. Cuire 10 min. Faire revenir les blancs de poulet dans une poêle anti-adhésive jusqu'à ce qu'ils soient dorés. Les ajouter aux champignons et cuire 10 min. A la fin, enlever le poulet, ajouter la moutarde, la crème fraîche et l'estragon. Emincer les blancs de poulet en tranches et servir avec les champignons.",https://www.marmiton.org/recettes/recette_poulet-a-la-moutarde-a-l-estragon-et-aux-champignons_19374.aspx,pas noel
Pâte brisée vite faite,4.7,888,68k,202,45 min,1,très facile,bon marché,15 min,30 min,"['g de farine', 'g de beurre en dés et en pommade', 'cuillère à café de sel', 'cuillères à soupe de sucre (si pâte sucrée)', ""cl d'eau ou de lait tiède""]","Mélanger la farine et le sel dans un plat (et le sucre si sucre il y a). Ajouter le beurre puis l'incorporer à la farine en pétrissant rapidement et légèrement du bout des doigts. On doit obtenir une sorte de semoule grossière en 2 ou 3 min. Incorporer rapidement le lait ou l'eau. Il en faut très peu pour permettre à la pâte de se lier et de faire boule. Le lait ou l'eau ? C'est selon les goûts. Pour étaler sans problème, étaler la pâte sur du papier cuisson et cuire tel quel dans la platine.",https://www.marmiton.org/recettes/recette_pate-brisee-vite-faite_31639.aspx,pas noel
Pancakes légers au fromage blanc,5,5,0,0,15 min,4,facile,bon marché,10 min,5 min,"['g de farine', 'sachet de sucre vanillé', 'oeufs', 'cuillère à café de levure chimique', 'g de beurre', 'cl de lait', 'g de fromage blanc', 'pincée de sel']","Faire chauffer une poêle anti-adhésive. Pendant ce temps, battre les oeufs avec le sucre vanillé et la pincée de sel. Faire fondre le beurre au four micro-ondes et l’incorporer à la préparation. Ajouter la farine, la levure, le fromage blanc. Puis verser le lait petit à petit. 
La pâte doit être lisse et sans grumeaux. Déposer des petits tas de pâte dans la poêle chaude et laisser cuire 1 à 2 minutes. Lorsque des bulles apparaissent sur le dessus, retourner les pancakes et terminer la cuisson. Pour faire le plein de gourmandise, accompagner les pancakes de rondelles de banane et de noix de pécan.",https://www.marmiton.org/recettes/recette_pancakes-legers-au-fromage-blanc_392057.aspx,pas noel
